,Image_Index,labels
0,112092,black
1,107700,brown
2,59365,blond
3,22286,brown
4,102467,black
5,38491,brown
6,113645,blond
7,8561,brown
8,192750,brown
9,57006,bald
10,88542,brown
11,86142,black
12,158981,black
13,36965,black
14,35721,black
15,141312,blond
16,39846,black
17,135362,black
18,35846,blond
19,26463,black
20,147155,brown
21,11934,brown
22,70654,brown
23,28670,black
24,110982,black
25,161772,blond
26,50701,black
27,2338,brown
28,196569,black
29,120944,black
30,124669,black
31,67935,brown
32,1491,black
33,94351,blond
34,76781,black
35,170404,black
36,89480,black
37,120467,brown
38,191026,blond
39,13634,brown
40,155504,brown
41,136170,black
42,125906,brown
43,26698,blond
44,119676,brown
45,5670,brown
46,90954,brown
47,77351,brown
48,34756,gray
49,146395,brown
50,129892,black
51,20165,blond
52,143356,black
53,120168,brown
54,184624,black
55,136816,brown
56,97978,blond
57,51974,black
58,110111,brown
59,173961,blond
60,67527,blond
61,192421,brown
62,22451,brown
63,137908,brown
64,109375,blond
65,157820,brown
66,22555,black
67,150465,brown
68,139572,black
69,5669,black
70,177763,brown
71,33844,blond
72,122496,blond
73,150721,black
74,1069,brown
75,33137,gray
76,153462,brown
77,159241,black
78,17930,black
79,166304,black
80,174906,brown
81,188754,brown
82,4618,brown
83,153248,black
84,131407,blond
85,150204,brown
86,54238,brown
87,129151,brown
88,112386,black
89,174072,black
90,8032,blond
91,121819,brown
92,161433,black
93,114866,blond
94,41793,black
95,43447,blond
96,81015,brown
97,86491,black
98,36961,brown
99,161338,black
100,194343,black
101,35948,brown
102,147384,gray
103,189020,black
104,183059,black
105,100126,black
106,80511,black
107,145229,black
108,66011,brown
109,133457,bald
110,127159,black
111,128651,black
112,43572,black
113,112530,brown
114,123485,black
115,154274,black
116,102712,blond
117,144514,blond
118,95655,brown
119,47275,black
120,270,blond
121,192860,blond
122,126722,brown
123,54805,black
124,193786,brown
125,189282,black
126,47693,black
127,117118,blond
128,181189,brown
129,14481,blond
130,117045,blond
131,165280,brown
132,41360,brown
133,52264,blond
134,76148,black
135,133730,black
136,161199,black
137,67130,brown
138,81451,brown
139,63547,brown
140,58972,brown
141,183798,black
142,52705,black
143,105454,black
144,159400,blond
145,199041,bald
146,41771,black
147,190442,blond
148,14370,black
149,126449,blond
150,88076,blond
151,16600,black
152,114613,gray
153,46830,blond
154,61189,brown
155,65403,black
156,119689,black
157,92350,blond
158,94318,brown
159,186580,black
160,46319,brown
161,47334,black
162,150279,black
163,192938,black
164,123378,blond
165,154152,brown
166,49669,brown
167,98813,brown
168,56864,brown
169,1260,blond
170,5439,black
171,147986,brown
172,158103,black
173,123601,blond
174,134467,brown
175,145570,bald
176,40172,brown
177,169050,black
178,121746,blond
179,137197,blond
180,4928,blond
181,163783,brown
182,172036,blond
183,44427,black
184,191244,brown
185,200130,black
186,83646,brown
187,99368,blond
188,196091,black
189,75200,brown
190,175526,blond
191,179213,blond
192,65675,brown
193,69361,brown
194,65868,brown
195,62273,blond
196,29768,blond
197,88582,black
198,173659,brown
199,79736,brown
200,76049,blond
201,86502,brown
202,164932,black
203,52765,blond
204,74779,brown
205,148960,blond
206,177230,brown
207,133328,black
208,116466,black
209,145473,black
210,120433,black
211,18767,black
212,140055,black
213,102663,blond
214,28322,black
215,4526,blond
216,150342,brown
217,22708,brown
218,51016,blond
219,90188,gray
220,193503,brown
221,151804,brown
222,189649,blond
223,186070,blond
224,98828,gray
225,110627,brown
226,56962,brown
227,143299,blond
228,36818,blond
229,176276,brown
230,74810,gray
231,170905,black
232,24966,blond
233,112846,brown
234,111786,black
235,135064,blond
236,78589,black
237,180619,brown
238,45596,black
239,42876,gray
240,76986,bald
241,178320,black
242,53516,black
243,183557,brown
244,14468,brown
245,87394,black
246,68025,brown
247,141442,black
248,145705,blond
249,3842,brown
250,156962,black
251,155665,black
252,14920,black
253,37342,bald
254,43723,brown
255,189504,blond
256,128498,black
257,121861,brown
258,32114,brown
259,185393,blond
260,3722,brown
261,109240,brown
262,175078,black
263,43123,black
264,99204,gray
265,121358,black
266,171469,gray
267,24725,bald
268,87915,black
269,51243,black
270,109589,black
271,135530,black
272,169229,brown
273,87955,black
274,123871,black
275,124867,black
276,17630,blond
277,76661,blond
278,20291,brown
279,131194,black
280,24567,brown
281,199318,brown
282,154935,black
283,16027,black
284,170724,brown
285,133309,blond
286,131061,blond
287,165704,black
288,102625,brown
289,19045,gray
290,36097,brown
291,46324,brown
292,115100,brown
293,72431,black
294,135864,blond
295,57997,black
296,138288,gray
297,97756,black
298,148625,brown
299,68538,black
300,17840,black
301,46813,black
302,23003,brown
303,121447,blond
304,119635,black
305,152407,gray
306,8448,blond
307,66671,brown
308,76033,brown
309,84495,black
310,127841,brown
311,119561,brown
312,113604,brown
313,183371,black
314,93266,blond
315,186585,blond
316,21783,blond
317,82046,brown
318,64152,black
